name,cat,ph,ts,dur,pid,tid,args_Data_type,args_Dest,args_Tag,args_Count,args_Comm,args_Request,args_Op,args_Root,args_Backtrace
PROCESS_START,Event,X,0.0,0.0,0,1,,,,,,,,,
MPI_Init,Event,X,7.965,199766.67375000002,0,1,,,,,,,,,
PROCESS_START,Event,X,16832.5025,0.0,0,2,,,,,,,,,
MPI_Init,Event,X,16840.11125,181694.66999999998,0,2,,,,,,,,,
PROCESS_START,Event,X,20307.43625,0.0,0,0,,,,,,,,,
MPI_Init,Event,X,20313.98625,176978.09749999997,0,0,,,,,,,,,
PROCESS_START,Event,X,21920.80625,0.0,0,3,,,,,,,,,
MPI_Init,Event,X,21932.21375,177846.44875,0,3,,,,,,,,,
PROCESS_START,Event,X,22047.53,0.0,0,4,,,,,,,,,
MPI_Init,Event,X,22055.3775,175539.01374999998,0,4,,,,,,,,,
PROCESS_START,Event,X,44662.27,0.0,0,5,,,,,,,,,
MPI_Init,Event,X,44669.38125,156873.08625,0,5,,,,,,,,,
PROCESS_START,Event,X,56883.855,0.0,0,7,,,,,,,,,
MPI_Init,Event,X,56892.31875,142882.3025,0,7,,,,,,,,,
PROCESS_START,Event,X,75389.40875,0.0,0,6,,,,,,,,,
MPI_Init,Event,X,75397.11625,121016.69374999999,0,6,,,,,,,,,
MPI_Comm_rank,Event,X,197165.51125,21.304999999993015,0,6,,,,,,,,,
MPI_Comm_size,Event,X,197222.97375,0.1224999999976717,0,6,,,,,,,,,
MPI_Comm_dup,Event,X,197225.8925,4806.140000000014,0,6,,,,,,,,,
MPI_Comm_rank,Event,X,197775.56125,21.003750000003492,0,0,,,,,,,,,
MPI_Comm_size,Event,X,197832.4725,0.14624999999068677,0,0,,,,,,,,,
MPI_Comm_dup,Event,X,197835.41,4196.732499999984,0,0,,,,,,,,,
MPI_Comm_rank,Event,X,198050.0125,25.224999999976717,0,4,,,,,,,,,
MPI_Comm_size,Event,X,198111.33125,0.13250000000698492,0,4,,,,,,,,,
MPI_Comm_dup,Event,X,198114.5175,3917.5587500000256,0,4,,,,,,,,,
MPI_Comm_rank,Event,X,198952.69375,20.904999999998836,0,2,,,,,,,,,
MPI_Comm_size,Event,X,199009.095,0.11999999999534339,0,2,,,,,,,,,
MPI_Comm_dup,Event,X,199011.80125,3020.140000000014,0,2,,,,,,,,,
MPI_Bcast,Event,X,202069.69,34.76999999998952,0,2,94502364045920,,,1,94502373174928,,,0,
MPI_Bcast,Event,X,202069.705,36.873749999998836,0,4,94066656436832,,,1,94066685361200,,,0,
MPI_Bcast,Event,X,202069.81375,34.94000000000233,0,6,94139246686816,,,1,94139261586272,,,0,
MPI_Bcast,Event,X,202097.98375,8.332499999989523,0,0,94802912096864,,,1,94802925722720,,,0,
MPI_Allreduce,Event,X,878288.33375,92866.20499999996,0,0,94802912096864,,,1029,94802925722720,,94802912102496,,
MPI_Allreduce,Event,X,892489.58375,78666.19874999998,0,4,94066656436832,,,1029,94066685361200,,94066656442464,,
MPI_Allreduce,Event,X,917177.0875,53982.28500000003,0,6,94139246686816,,,1029,94139261586272,,94139246692448,,
MPI_Allreduce,Event,X,922932.6475,48224.36499999999,0,2,94502364045920,,,1029,94502373174928,,94502364051552,,
MPI_Alltoall,Event,X,971217.3675,5641.134999999893,0,2,94502364045920,,,,94502373174928,,,,
MPI_Alltoall,Event,X,971217.38625,5949.297499999986,0,4,94066656436832,,,,94066685361200,,,,
MPI_Alltoall,Event,X,971217.4125,5635.473750000005,0,6,94139246686816,,,,94139261586272,,,,
MPI_Alltoall,Event,X,971217.4375,5635.699999999953,0,0,94802912096864,,,,94802925722720,,,,
MPI_Alltoallv,Event,X,976895.84375,41555.94750000001,0,2,94502364045920,,,,94502373174928,,,,
MPI_Alltoallv,Event,X,976895.88375,44209.201249999925,0,0,94802912096864,,,,94802925722720,,,,
MPI_Alltoallv,Event,X,976895.92875,44208.91250000009,0,6,94139246686816,,,,94139261586272,,,,
MPI_Alltoallv,Event,X,977198.58625,41592.45874999999,0,4,94066656436832,,,,94066685361200,,,,
MPI_Wtime,Event,X,1051852.8725,7.044999999925494,0,2,,,,,,,,,
MPI_Wtime,Event,X,1054043.79875,7.3312499998137355,0,6,,,,,,,,,
MPI_Wtime,Event,X,1055615.08875,5.517499999841675,0,4,,,,,,,,,
MPI_Wtime,Event,X,1061579.6925,7.102500000037253,0,0,,,,,,,,,
MPI_Allreduce,Event,X,1165658.8975,27027.992499999935,0,4,94066656436832,,,1029,94066685361200,,94066656442464,,
MPI_Allreduce,Event,X,1170965.42375,21470.117499999935,0,6,94139246686816,,,1029,94139261586272,,94139246692448,,
MPI_Allreduce,Event,X,1174511.63625,18128.834999999963,0,0,94802912096864,,,1029,94802925722720,,94802912102496,,
MPI_Allreduce,Event,X,1192139.945,292.91500000003725,0,2,94502364045920,,,1029,94502373174928,,94502364051552,,
MPI_Alltoall,Event,X,1192457.415,276.90625,0,2,94502364045920,,,,94502373174928,,,,
MPI_Alltoall,Event,X,1192469.4225,266.3212499998044,0,6,94139246686816,,,,94139261586272,,,,
MPI_Alltoall,Event,X,1192674.06125,61.72249999991618,0,0,94802912096864,,,,94802925722720,,,,
MPI_Alltoall,Event,X,1192721.17375,15.447500000009313,0,4,94066656436832,,,,94066685361200,,,,
MPI_Alltoallv,Event,X,1192751.475,44277.05125000002,0,2,94502364045920,,,,94502373174928,,,,
MPI_Alltoallv,Event,X,1192752.92625,42289.76624999987,0,6,94139246686816,,,,94139261586272,,,,
MPI_Alltoallv,Event,X,1192753.30375,44203.80125000002,0,4,94066656436832,,,,94066685361200,,,,
