name,cat,ph,ts,dur,pid,tid,args_Data_type,args_Dest,args_Tag,args_Count,args_Comm,args_Request,args_Op,args_Root,args_Backtrace
1,"PROCESS_START,MPI_Init","Event,Event","X,X","0.0,7.965","0.0,199766.67375","0,0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0,/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4d063) (0x14e14bfb5063):_Z13jsi_inst_inittm [??:??:0]
/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4ba69) (0x14e14bfb3a69):MPI_Init [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+13fd) (0x55b8eed093fd):(null) [??:??:0]
/lib/x86_64-linux-gnu/libc.so.6(+24083) (0x14e14bc37083):__libc_start_main [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+1b7e) (0x55b8eed09b7e):(null) [??:??:0]
"
,,,,,,,,,,,,,,,
1,MPI_Init,Event,X,7.965,199766.67375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4d063) (0x14e14bfb5063):_Z13jsi_inst_inittm [??:??:0]
/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4ba69) (0x14e14bfb3a69):MPI_Init [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+13fd) (0x55b8eed093fd):(null) [??:??:0]
/lib/x86_64-linux-gnu/libc.so.6(+24083) (0x14e14bc37083):__libc_start_main [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+1b7e) (0x55b8eed09b7e):(null) [??:??:0]
"
2,"PROCESS_START,MPI_Init","Event,Event","X,X","16832.5025,16840.11125","0.0,181694.67","0,0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0,/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4d063) (0x146528075063):_Z13jsi_inst_inittm [??:??:0]
/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4ba69) (0x146528073a69):MPI_Init [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+13fd) (0x55f30bd693fd):(null) [??:??:0]
/lib/x86_64-linux-gnu/libc.so.6(+24083) (0x146527cf7083):__libc_start_main [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+1b7e) (0x55f30bd69b7e):(null) [??:??:0]
"
,,,,,,,,,,,,,,,
0,"PROCESS_START,MPI_Init","Event,Event","X,X","20307.43625,20313.98625","0.0,176978.09749999997","0,0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0,/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4d063) (0x14cbcb533063):_Z13jsi_inst_inittm [??:??:0]
/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4ba69) (0x14cbcb531a69):MPI_Init [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+13fd) (0x563905e5e3fd):(null) [??:??:0]
/lib/x86_64-linux-gnu/libc.so.6(+24083) (0x14cbcb1b5083):__libc_start_main [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+1b7e) (0x563905e5eb7e):(null) [??:??:0]
"
1,MPI_Init,Event,X,7.965,199766.67375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4d063) (0x14e14bfb5063):_Z13jsi_inst_inittm [??:??:0]
/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4ba69) (0x14e14bfb3a69):MPI_Init [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+13fd) (0x55b8eed093fd):(null) [??:??:0]
/lib/x86_64-linux-gnu/libc.so.6(+24083) (0x14e14bc37083):__libc_start_main [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+1b7e) (0x55b8eed09b7e):(null) [??:??:0]
"
2,MPI_Init,Event,X,16840.11125,181694.67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4d063) (0x146528075063):_Z13jsi_inst_inittm [??:??:0]
/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4ba69) (0x146528073a69):MPI_Init [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+13fd) (0x55f30bd693fd):(null) [??:??:0]
/lib/x86_64-linux-gnu/libc.so.6(+24083) (0x146527cf7083):__libc_start_main [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+1b7e) (0x55f30bd69b7e):(null) [??:??:0]
"
3,"PROCESS_START,MPI_Init","Event,Event","X,X","21920.80625,21932.21375","0.0,177846.44875","0,0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0,/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4d063) (0x14c305cff063):_Z13jsi_inst_inittm [??:??:0]
/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4ba69) (0x14c305cfda69):MPI_Init [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+13fd) (0x55a0291bf3fd):(null) [??:??:0]
/lib/x86_64-linux-gnu/libc.so.6(+24083) (0x14c305981083):__libc_start_main [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+1b7e) (0x55a0291bfb7e):(null) [??:??:0]
"
4,"PROCESS_START,MPI_Init","Event,Event","X,X","22047.53,22055.3775","0.0,175539.01374999998","0,0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0,/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4d063) (0x14606e989063):_Z13jsi_inst_inittm [??:??:0]
/home/sx/Toolkit/JSI-Toolkit/install/bin/libmpi_wrapper.so(+4ba69) (0x14606e987a69):MPI_Init [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+13fd) (0x558d99a413fd):(null) [??:??:0]
/lib/x86_64-linux-gnu/libc.so.6(+24083) (0x14606e60b083):__libc_start_main [??:??:0]
/home/sx/NPB3.4.2/NPB3.4-MPI/bin/is.B.x(+1b7e) (0x558d99a41b7e):(null) [??:??:0]
"
